organisation;spellings
ABC;
Academia Brasiliera de Ciencias;
Academia Mexicana de Ciencias;
Academie des Sciences;
Accademia dei Lincei;
Accenture;
ACHGUT;
Achgut.com;
AdaniKohlemine;
AFD;Afd, afd, AfD, AfD Fraktion, AfD Fraktionen, AfDFraktion
AGU;
AGW;
Airbus;
Akademia;
Aldi;
AlfredWegener Instituts;
Allianz;Allianz SE
AllroundWissenschaftler;
Amazon Corporation;Amazon
American Association for the Advancement of Science - American Astronomical Society;
American Electric Power;
American Institute of Physics - American Meteorological Society;
American Meteorological Society;
American Physical Society;
AMG;
Amnesty International;
AMNH;
AMO;
AntiAKWBewegung;
Antifa;
Antirassitische Gruppe;
ARD;
ARG;
ARTE;
Arte;
Australian Bureau of Meteorology;
Australian Meteorological and Oceanographic Society;
Australien University;
Automotive News Europe;
AWG;
AWI;
Die Grünen;"B90, Den Grünen, Grüne, Grünen, DIE Grünen, die Grünen,
DIE GRÜNEN, GRÜNE, Grüne, grüne Partei, Grünen Bewegung Deutschland, Partei Bündnis90, Partei der Grünen"
BAP;
Bayer Solar GmbH;
Bayerische Rundfunk;
Bayerischen Landtag;
Bayerisches Landesamt für Umwelt;
Bayerisches Staatsministerium für Umwelt und Verbraucherschutz;
BBC;
BDA;
BDI;
BDK;
BdW;
BedfordStrohm;
belgische Universität Mons;
Belt and Road Initiative;
Berkeley Muller;
Berlin Germanwatch e.V;
Berliner Tagesspiegel;
Berliner Tageszeitung;
Berliner Zeitung;
BfE;
Big Finance;
BigÖl;
BILD;
Bing;
Blaue Narzisse;
Bloomberg Stiftung;
BMW;
BNE;
BoD Verlag Norderstedt;
Boston Herald;
BP;
BR;
britischen Akademie der Wissenschaften;
British Empire;
BSP;
BSW Warburg;
BUK;
BUKO;
BUND;
Bund für Umwelt und Naturschutz;Bund für Umwelt und Naturschutz Deutschland e.V, Bund für Umwelt und Naturschutz Deutschland e.V., Bund für Umwelt und Naturschutz Deutschland
Bundesamt für Energie;
Bundesamt für Gesundheit;
Bundesanstalt für Geowissenschaften und Rohstoffe;
Bundesarbeitsgemeinschaft Kirche;
Bundesbahn;
Bundesgesundheitsamts Berlin;
Bundesinneminsterium;
Bundeskabinett;
Bundeskanzleramt;
Bundesministerium für Familie Senioren;
Bundesministerium für Umwelt Naturschutz;
Bundesministerium für Wirtschaft und Energie;
Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung warum wir soviel Geld;
Bundesnetzagentur;
Bundestag;
Bundestag.de;
Bundesumweltministeriums;
Bundesverbandes Neue Energiewirtschaft;
BUNDjugend;BUNDjugend Bundesverband
Bündnis Verkehrswende Köln;
Bureau of Meteorology;
Bürgerenergiegesellschaft;
BVKS;Bundesverband Klimaschutz
BYD;
CAG;
Canadian Broadcast Corporation;
Caritas;
Cato Institut;Cato Institute
CBC;
CCCA;
CDU;
Center for Energy and Environment;
CESM;
Chevron;
Chinese Academy of Sciences;chinesischen Akademie der Wissenschaften
ChristianAlbrechtsUniversität;
Christians for Future;
Church of Global Warming;
CIA;
CKS;
Clean Energy Council;
Climate and Gender Justice;
Climate Bonds Initiative;
Climate Bonds Initiative und Climate Policy Initiative;
Climate Change Deniers and Advocacy;
Climate Literacy and Energy Awareness Network;
Climate Media Factory;
Climate Policy Initiative;
ClimateAtAGlance.com;
ClimateRealism.com;
Club of Rom;
CNN;
Columbia University Earth Institute;
Commerzbank;
Competitive Enterprise Institute;
ConocoPhillips;
Context Verlag;
Cornwall Alliance;
CRU;
CSIR;
CSU;
CTDs;
Dagens Nyheter;
Daily Mail;
Daimler;
Daimler AG;
DAXUnternehmensgruppe;
db deutsche bauzeitung;
DBV;
Defend Rojava Komitee & Beriwan;
Degrowth;
DegrowthBewegung;
Demokratische Natur- und Umweltschützer;
Demokratische Partei;
demokratischen Natur- und Umweltschutzes;
Denkmalplatz Mahnwache Leipzig;
Department of Agriculture;
Department of Earth and Environmental Sciences;
der Grünen;
Der Spiegel;
DER SPIEGEL;
Deutsche Akademie der Naturforscher Leopoldina - Frankreich;
Deutsche Bank;
Deutsche Burgenvereinigung;
deutsche Gesellschaft der Minderheit;
Deutsche Gesellschaft für die Vereinten Nationen e.V;
Deutsche Gesellschaft für Ernährung;
Deutsche Gesellschaft für Internationale Zusammenarbeit;
Deutsche Meteorologische Gesellschaft;
Deutsche Reich;
Deutschen Bank;
Deutschen Bauernverbands;
Deutschen Bundesstiftung Umwelt;
Deutschen Bundesstiftung Umwelt Berlin;
Deutschen Bundestag;
deutschen Bundestag;
Deutschen Evangelischen Arbeitsgemeinschaft für Erwachsenenbildung e.V ;
Deutschen Fachverband für Agroforstwirtschaft;
deutschen Gesellschaft;
Deutschen Institut für Wirtschaftsforschung;
Deutschen Nationalakademie Leopoldina;
Deutschen Umwelthilfe;
Deutschen Vereinigung für politische Bildung;
Deutschen Wetterdienstes;
Deutscher Bundestag;
Deutscher Wetterdienst;
Deutsches KlimaKonsortium;
Deutschland international;
Deutschlandfunk;
DFC;
DGBJugend Niedersachsen- Mitte;
DGE;
DIE LINKE;
Die offene Gesellschaft;
DIE WELT;Die Welt
DIE Wissenschaft;
Dipartimento di Scienze della Terra Dr;
DIW;
DMG;
DMI;
DMT;
DOE;
Dornier;
Dorsten Mercaden;
Dortmunder Institut für Journalistik;
dpa;
DPG;
Dresdener Nachrichten;
DUH;
DWD;
DWDKlimastation Rosenheim;
Earth System Laboratory;
ECI;
ECI for Future;
Ecological Perspectives for Science & Society;
ECS;
EE;
EE Industrie;
EED;
EEG;
EG;
EGA;
EGU;
EIA;
Eigenverlag;
EIKE;EIKEInstituts, Europäisches Institut für Klima & Energie, Europäisches Institut für Klima und Energie
Eintracht;
Eisenbahn- und Verkehrsgewerkschaft;
EKD;
EliteUniversität Princeton;
ELKW;
ELoks;
EndzeitPropheten;
EnergieErzeuger;
EnergiePolitik;
Energiewende international;
Energy and Natural Resources Committee;
Entrepreneurs for Future;
Environmental Grantmakers Association;
Environmental Protection Agency;
Environmental Protection Agency Policy Advisor;
Eon;
EPA;
EPA Transition Teams;
ErsatzHexen;
Erste Asset Management GmbH;
Essen;
ETS;
EU;
EU Parlament;
Europäische Bürger;
Europäische Institut für Klima und Energie;
Europäische Parlament;
Europäische Rat;
Europäische Union;
europäischen Energieplanungen;
Europäischen Gerichtshof;
Europäischen Kommission;
Europäischen Parlament;
Europäischen Parlaments;
Europäischen Rat;
Europäischen Union;
Europäischen Volkspartei;
Europaparlament;
Europarat;
European Federation of Geologists - European Geosciences;
European Geosciences Union;
EUROSTAT;
Evangelical Environmental Network;
Evangelische Schule Berlin;
evangelischen Kirche;
EVG;
EVPFraktion;
EW;
ExtremAlarmisten;
Exxon;ExxonMobil, ExxonMobil Foundation
F.A.Z;
Fachhochschule des Heeres;
Fachstelle Radikalisierungsprävention;
FAO;
FARN;
FAS;
FAZ;
FDP;
Federation of American Scientists - Federation of Australian Scientific and Technological Societies;
Ferrari;
FFF;Fridays For Future, FFF Bad Nenndorf, FFF Bamberg, FFF Berlin, FFF Bewegung, FFF Bielefeld, FFF Darmstadt, FFF Falkensee, FFF Frankfurt am Main, FFF Freiburg, FFF Heidelberg, FFF Ingolstadt, FFF Leipzig, FFF Magdeburg, FFF Marburg, FFF Nürnberg, FFF RojavaRevolution, FFF Schorndorf, FFF Worms, FFF Wülfrath, Fridays for Future, Fridays For Future, Fridays for future, Fridays for Future, Fridays for Future Bewegung, Fridays for Future Bitterfeld, Fridays For Future Brandenburg, Fridays for Future Brasilien, Fridays for Future Deutschland, Fridays For Future Deutschland, Fridays for Future Hamburg, Fridays for Future Nürnberg, Fridays for Future Österreich, Fridays for Future Passau, Fridays for Future Ravensburg, Fridays For Future Reutlingen, Fridays for Future SachsenAnhalt, Fridays for, Future Uganda, Fridays For Future Weilburg, Fridays for Future Werther, Fridays for FutureBewegung, FridaysforFuture, FridaysForFuture Deutschland, FridaysforFuture Deutschland, FridaysForFuture Leipzig, FridaysforFuture Nbg, Aktion Fridays For Future
FFU;
FH;
Fiat;
FIGU;
Financial Times;
FMD Ausschnitt;
FMDTV Channel;
FN;
FOCUS;
Folgedemos;
Forbes;
Ford Foundation;
Forschungszentrum für Umweltpolitik;
Fortum;
Foundations;
Fox & Co;
Fox News;
FPÖ;
FrackingIndustrie;
Frameworks Institute;
Frankfurter Allgemeine;
Frankfurter Allgemeinen Zeitung;
Frankfurter Rundschau;
Franziskusplatz Fritzlar;
Freisinger Tagblatt;
Friday Form Future;
Fridays for Hubraum;
FriedrichEbertStiftung;
Front Groups;
Frühverheiratung;
FU Berlin;
FvD;
GAIA;
GAP;
Gazprom;
Generali Group;
Germanwatch;
GermanZero;
Gewerkschaft für besorgte Wissenschaftler;
Gewerkschaft ver.di;Verdi, ver.di, verdi
Giervergorenheit;
GISS;
Global Change Newsletter;
Global Warming Policy Foundation;
GLS Bank;
GMF;
GMO;
Goddard Institute for Space Studies;
GoetheUniversität Frankfurt am Main;
GöhringEckardt;
GoogleMaps;
GradZiel;
Grafik AG;
Grandparents for Future;
Grantham Foundation;
Grantham Research Institute;Grantham Research Institute for Climate Change and Environment
Grazer Universität;
Green City AG;
Greenpeace;Greenpeace & Co, Greenpeace International
GrenfellBrand;
Grüne Sahara;
GW;
GWUP;
Gymnasium Kempten;
Habilitationsschrift Paderborn;
HaferdrinkHersteller;
Hamburg for Future;
Handelsblatt SAND;
Hannover Hallo;
Hansen & Cie;
HarvardUniversität;
HAZ;
HDI;
Health for future Leipzig;
Heartland Institute;
Heartland Institute;
Heartland Institute Chicago;
HeartlandInstitut;
HeidelbergCement;
Heidelberger UPIInstituts;
Hessischen Landtag;
Hessischen Ministeriums für Umwelt  Klimaschutz 	 Landwirtschaft und Verbraucherschutz;
heutejournal;
Hewlett Foundation;
Hinterland of Things;
HNEE;
Hochschule für nachhaltige Entwicklung Eberswalde;
Hochschule für Technik und Wirtschaft;
Holcim;
Holzmarkt Kaarst;
HP;
IASS;
ICCC;
IEA;
IG Metall;
IG Metall Organisation;
IGBP Pagges;
IHK;
IISD;
IIund;
IKG;
Indian National Science Academy;
IndividualFahrzeuge;
Industriegebiet AchimWest;
Initiative Climate Action;
Initiative Neue Soziale Marktwirtschaft;
Initiative Reclaim The Forest;
INSM;
Institut für interdisziplinäre Konflikt- und Gewaltforschung;
Institut für Klimafolgenforschung;
Institut für ökologische Wirtschaftsforschung;
Institut für Politikwissenschaft;
Institut für transformative Nachhaltigkeitsforschung;
Institut für unternehmerische Freiheit;
Institute for Energy Research;
Institutes für Nachhaltigkeit und Klimaschutz;
Instituts der deutsche Wirtschaft;
Instituts für Paläogeophysik und Geodynamik;
International Press Institute;
International Union for Quaternary Research;
International Union of Geodesy and Geophysics - Leopoldina;
Internationale Energieagentur;
Internationale Strafgerichtshof;
Internationalen Expertengruppe zur Bewahrung des Erdsystems;
Internationalen Grünen Kreuzes;
IOP;
IPCC;
IPCC;
IPCCMinimalwert;
IPI;
IR;
ISIS;
IslandWikinger;
IVT;
IW;
IWF;
IWH;
JANUN Hannover;
JugendÖkologieInitiative;
Jugendorganisation der Grünen;
jugendschutz.net;
Justizministerium;
JustusLiebigUniversität Giessen;
Juventa;
Kampagnen AG;
Kapitalistischer Wachstunszwang;
KatapultMagazin;
katholische Kirche;
Katholische Kirche;
katholischen Kirche;
Kernforschungszentrum Jülich;
KGB;
KGS Schneverdingen;
Kiepenheuer & Witsch;
Klima- „ Wissenschaft;
KlimaAllianz Deutschland;
Klimabürgerrat;
KlimaBusiness;
KlimaComputermodellen;
Klimafragen.org;
KlimaGurus;
Klimamonitoringbericht für Süddeutschland;
KlimaNarrativ;
Klimarat IPCC;
Klimarats IPCC;
Klimareporter;
KLIMARETTER;
KlimaschutzOrganisationen;
Klimawissen e.V;
KLIWA;
KNMI;
KNOe Grüner;
Kohl & Co;
KohlendioxidEmissionen;
Kommunistische Partei der USA;
Kommunistischen Partei;
konservativen Partei;
KQED;
KSB;
Kulp & Benjamin H;
Kuratoriums;
KWU;
Landesverbands Erneuerbare Energien;
Landtag;
Leipziger Volkszeitung;
Linke;Linken
LNG;
London School of Economics and Political Science;
LottoJackpots;
LREM;
LSE;
LSG;
Lufthansa;
MAPA;
Märkische Zeitung;
Marvel;
Massachusetts Institute of Technology;
Massachusetts The GroundTruth;
MatterBewegung;
MBB;
Menschenverachtend;
Mercedes;
Migrantifa for Future;
MigrantifaBewegung;
MigrantifaGruppen;
MilliardärsClub Climate Emergency Fund;
Milliarden HiroshimaBomben;
Milliardenhöhe;
Ministerin für Naturschutz und Umwelt;
MINT;
MISEREOR;
MIT;
MittelBereitstellung;
MoPK;
Mother Jones;
Mrd;
MSCI;
MSM;
MWP;
NABU;
NAE;
NAS;
NASA;
National Academy of Sciences;
National Association of Evangelicals;
National Economic Council;
National Energy Administration;
National Geographic;
National Oceanic and Atmospheric Administration;
National Science Foundation;
National Snow & Ice Data Center;
National Wildlife Federation;
Nationale Akademie der Wissenschaften;
Nationalrat;
NATO;
Natural News;
Nature communications;
Naturfreunde;NaturFreunde, Naturfreundejugend Deutschlands, Naturfreundejugend Niedersachsen, NaturFreunden Deutschlands
Naturfreundejugend Deutschlands;
Naturfreundejugend Niedersachsen;
NBC;
NCAR;
NCCS;
NDR;ndr
Netzwerkes Solidarische Landwirtschaft;
Netzwerks Solidarische Landwirtschaft e.V;
Neue Zürcher Zeitung;Neuen Zürcher Zeitung
New Evangelical Partnership for the Common Good;
New York Post;
New York Times;
Next Kraftwerke;
NFF;
NGO;
niederländischen Deltares Research Institute;
NielsBohrInstitut;
NL;
NOAA;NOOA
Nordbayerischen Nachrichten;
Northwest Community Organization;
NOX;
NPD;
NRWCDUMP;
NSDAP;
NSF;
NSG;
NSIDC;
ntv;
NUOVISOTV;
NWO;
NY Times;
NYT;
NZZ;
ODI;
OECD;
ÖkoAktivisten;
ÖkoEsel;
ÖkoMagazin;
Ökos;
OMV;
OnlineDemo;
OnlineNachschlagewerk;
OPEC;
Open Knowledge Foundation e.V;
Opernhaus Progressiver Aktionsmarkt;
Or;
ÖR Medien über die Klimarealisten;
OregonPetition;
ORF;
Organisation Care;
Organisation des Technologietransfers;
Organisation für wirtschaftliche Zusammenarbeit und Entwicklung;
Organisation Our Children's Trust;
OriginalWorte;
Österreichische Akademie der Wissenschaften;
Overseas Development Institute;
P4F;
PAB;
PAGES;
Päpstliche Akademie der Wissenschaft;
Parents for Future;Parents For Future, Parents for future Bamberg, Parents for Future Deutschland, Parents For Future Gruppe, Parents for future München, Parents for Future Nbg
Paritätischen Gesamtverband;
Parlament;
Parlaments;
Parteijugend;
PCS;
Pegida;
PEGIDA;
Pekinger Universität;
Penn State University;
People For Future Weilburg;People For Future Weilburg !
Peugeot;
PG;
PHOENIX;
PIK;Potsdam Institut für Klimafolgenforschung, Potsdamer Institut, PotsdamInstitut, PotsdamInstitute, PotsdamInstituts, Potsdam Institute, PIK Potsdam, PIC Potsdam, PIKPotsdam, PIK & Co
PlantforthePlanet Foundation;
PM;
POLIS;
PolitIrrsinn;
PowerShift e.V;
Preußischen Allgemeinen Zeitung;
ProNazi;
PTJ;
Public Climate School;
PV;
PVA;
PVV;
PZU;
Radikalisierungsprävention in Deutschland;
Raumfahrt;
ravensburg;
rbb;
Rees Plakataktion;
Renault;
Reparaturteams;
RestTemperaturdifferenz;
RF;
RFF;
RKI;
Rockefeller Brothers Fund;
Rockefeller Foundation;
Rosa Luxemburg Stiftung;
Rotes Kreuz;Roten Kreuzes
Royal Dutch Shell;
Royal Society;
Royal Society of Canada;
Royal Society of the UK;
RTL;
Rundfunks;
RUNDSCHAU;
RWE;RWE & Co
RWTH;
S.O;
SachsenAnhalt;
Saddam;
SB;
SBahn;
SchienenVerkehr;
SchmalspurTerroristen;
School of Mathematical Sciences;
schwedische Weltraumgesellschaft;
schwedischen Parlament;
Schweizer Rundfunks;
Schweizer Weltwoche;
Science Daily Poulsens Team;
Science Sceptical;
Science Times;
Scientists For Future;Scientists for Future
SED;
Senat;Senats
SFV;
Shell;
Siemens;
SKE;
Skeptical Science;
SkepticalScience.com;
Sky News;
SolarenergieFörderverein Deutschland;SolarenergieFörderverein Deutschland e.V
sonnenseite.com;
Sowjetunion;
Sparinvest;
SPD;
Spektrum.de;
Spiegel;
SPIEGEL;
Spiegel Online;
Springerpresse;
SRF;
Stanford University;
STEP;
SternReport;
Stiftung Abendrot;
Stiftung des englischen Hedgefonds;
Stiftung Klima- und Umweltschutz;
Stiftung Politik & Wissenschaft;
Stiftung Urgenda;
Stiftung Viamedica;
Stiftung Warentest;
Stiftung Wissenschaft und Politik;
STT;
Students for Future;Students for Future Arbeitsgruppe, Students For Future Deutschland, Students for Future Deutschland, Students for Future Germany, Students for future Hannover, Students for Future Mainz
Stuttgarter Zeitung;
SulfatPartikel;
Surendra Adhikari;
SVP;
Swansea University;
SWR;
T2;
Tag & NachtRealität;
TAGESSPIEGEL;
Tagesspiegel;
Tagesspiegel ;
Tata Steel Gruppe;
TaxifahrerVereinigung;
TAZ;
TCS;
TE;
Teachers for Future;
Temperaturgefühl;
TemperaturMittelwerte;
TerraX;
Tesla;
Texas Tech;
The Australian;
The Breakthrough Institute;
The Childrens Investment Fund;
The Daily Caller;
The Economist;
The European;
the Grantham Foundation;
The Guardian;
The Heartland Institute;
the Knight Foundation;
The Lancet;
the Marisla Foundation;
The Nature Conservancy;
the Park Foundation;
The Telegraph;
The Toronto Sun;
The Washington Times;
Time Magazine;
Times;
Toyota;
TrendGraph;
TrendGraphiken;
TU Bergakademie Freiberg;
TU Berlin;
U.S .Climate Alliance;
U.S Platform Scribd;
UBA;
UKIP;
UlsterPartei;
Umweltbundesamt;Umweltbundesamtes
Umweltinstitut München;
Umweltminister;
Umweltschutzamt;
UN;
UN Organisation;
UndercoverRecherche;
UNEP;
UNESCO;
UNFCCC;
UNgeführten;
Uni Chicago;
Uni Gießen;
Uni Hildesheim;
Uni Mainz;
Uni Potsdam;
Union;
Union Investment;
Union of Concerned Scientists;
Uniper;
Universitaet Muenster;
Universität Alabama;
Universität Bayreuth;
Universität Bern;
Universität Bielefeld;
Universität Gießen;
Universität Göttingen;
Universität Halle;
Universität Heidelberg;
Universität Illinois;
Universität Liverpool;
Universität Mainz;
Universität Nottingham;
Universität Oldenburg;
Universität Osnabrück;
Universität Rostock;
Universität von Arizona;
Universität von East Anglia;
Universität von Winnipeg;
Universität Wien;
University College London;
University of California;
University of Cambridge;
University of East Anglia;
University of Oxford;
UNO;
US Solarfirma;
USA Today;
USamerikanische Institut;
USamerikanischer;
USDA;
USÖl;
Vatikanum;
VDA;
VDI;
Vereins Bund Heimatschutz;
Verfassungsfeindliche Organisation;
Verlag edition sigma;
Verlag Neue Erde;
Verteidigungsministerium;
Visual Crossing;
Volkshochschule Hannover;
Volkswagen;VolkswagenGruppe
VOX;
VVD;
Washington Post;
Washingtoner Jamestown Foundation;
Wassermelonen Grüne;
Wassermelonen-Partei;
WBGU;
WDR;
wdr;
Weather Channel;
WEF;
Welt;WELT, Die Welt, DIE WELT 
Weltbank;
WelternährungsOrganisation;
Weltgesundheitsorganisation;WHO
Weltorganisation für Meteorologie;
Weltwoche;
WestfalenBlatt;
Wett Online;
WetterOnline;
WFP;
WGI;
WIKIPEDIA;
WIMA;
Wirtschaftsministerium und Energiebeauftragter;
WissenschaftsAkademien;
Wissenschaftszentrum Berlin;
WITR;
WiWo;
WMO;
World Resources Institute;
WTC;
Wuppertal Institut;
Wuppertal Institut für Klima  Umwelt  Energie;
Wuppertal Institutes;
Wuppertal Instituts für Klima ;
Wuppertalinstitut;
Würzburg;
WUWT;
WWF;
www.adelphi.de;
www.climexp.knmi.nl;
www.fr.de;
www.klimafakten.de;
www.zdf.de;
www.zeit.de;
XR;
XR Bremen;
XR Darmstadt;
XR Dresden;
XR Freiburg;
XR Göttingen;
XR HamburgWest;
XR Heidelberg;
XR Magdeburg;
XR Potsdam;
XR Thüringen;
XR Trier;
XR Zwickau;
Yale;
York Universität;
YouTube Aktuelles;
ZA;
ZAP;
ZDF;
ZDF Frontal;
ZDF heutejournal;
ZDF:zeit;
Zeit Online;ZeitOnline
Zentralinstitut für organische Chemie;
ZIB;