full;name;last_name
Marie-Luise Abshagen;Marie-Luise;Abshagen
Theodor Adorno;Theodor;Adorno
Stuart Agnew;Stuart;Agnew
Kai Ahlborn;Kai;Ahlborn
William Alsup;William;Alsup
Volker Angres;Volker;Angres
Annalena Baerbock;Annalena;Baerbock
Burning Barbara;Burning;Barbara
Alan Barreca;Alan;Barreca
Sarah Bauer;Sarah;Bauer
Michael Behe;Michael;Behe
Michael Bloomberg;Michael;Bloomberg
Jair Bolsonaro;Jair;Bolsonaro
Leonard Borchert;Leonard;Borchert
Henryk M Broder;Henryk M;Broder
Achim Brunnengräber ;Achim;Brunnengräber
Tom Buhrow;Tom;Buhrow
John Christy;John;Christy
William Michael Connolley;William Michael;Connolley
Thomas de Maiziere;Thomas;de Maiziere
Tomas de Torquemada;Tomas;de Torquemada
James Delingpole;James;Delingpole
Olivier Deschenes;Olivier;Deschenes
Maria Rosaira Di Nucci;Maria Rosaira;Di Nucci
Klaus Döhler;Klaus;Döhler
Jonas Duhme;Jonas;Duhme
Ottmar Edenhofer;Ottmar;Edenhofer
Joschua Elbing;Joschua;Elbing
Matthew England;Matthew;England
Achim Fahnenschild;Achim;Fahnenschild
Niall Ferguson;Niall;Ferguson
Bernd Fleischmann;Bernd;Fleischmann
Jane Fonda;Jane;Fonda
Thomas Fuller;Thomas;Fuller
Michael Fumento;Michael;Fumento
Christian Gaebler;Christian;Gaebler
Joachim Gauck;Joachim;Gauck
Gerhard Gerlich;Gerhard;Gerlich
Carl Friedrich Gethmann;Carl Friedrich;Gethmann
Tedros Adhanom Ghebreyesus;Tedros Adhanom;Ghebreyesus
Axel Robert Göhring ;Axel Robert;Göhring 
Michail Gorbatschow;Michail;Gorbatschow
Susanne Götze;Susanne;Götze
Jeremy Grantham;Jeremy;Grantham
Christopher Grau;Christopher;Grau
Monika Griefahn;Monika;Griefahn
Ines Gütt;Ines;Gütt
Otto Hahn;Otto;Hahn
Norman Hanert;Norman;Hanert
Benedikt Härlin;Benedikt;Härlin
Reiner Haseloff;Reiner;Haseloff
Marius Hasenheit;Marius;Hasenheit
Mark Hauptmann;Mark;Hauptmann
Robert Havemann;Robert;Havemann
Katherine Hayhoe;Katherine;Hayhoe
Klaus Heidegger;Klaus;Heidegger
Barbara Hendricks;Barbara;Hendricks
Karsten Hilse;Karsten;Hilse
Thomas Hoffmann;Thomas;Hoffmann
Heinz Horeis;Heinz;Horeis
Max Horkheimer;Max;Horkheimer
John Houghton;John;Houghton
Anne Hübner;Anne;Hübner
Maybrit Illner;Maybrit;Illner
Lars Jaeger;Lars;Jaeger
Ken Jebsen;Ken;Jebsen
Annika Joeres;Annika;Joeres
Jörg Kachelmann;Jörg;Kachelmann
Carolin Kebekus;Carolin;Kebekus
John Kerry;John;Kerry
Erik Kessels;Erik;Kessels
Werner Kirstein;Werner;Kirstein
Henry Kissinger;Henry;Kissinger
Michael Klein;Michael;Klein
Lukas Köhler;Lukas;Köhler
Silke Kosch;Silke;Kosch
Stephan Kosch;Stephan;Kosch
Gerhard Kramm;Gerhard;Kramm
Johannes Krüger;Johannes;Krüger
Harald Kunstmann;Harald;Kunstmann
Wolfgang Kuntz;Wolfgang;Kuntz
Frank Lagunas;Frank;Lagunas
Myanna Lahsen;Myanna;Lahsen
Theodor Landscheidt;Theodor;Landscheidt
Armin Laschet;Armin;Laschet
Ralph Lenkert;Ralph;Lenkert
Anders Levermann;Anders;Levermann
Andreas Lieb;Andras;Lieb
Michael Limburg;Michael;Limburg
Fredrik Ljungqvist;Fredrik;Ljungqvist
Horst-Joachim Lüdecke;Horst-Joachim;Lüdecke
Susanne Luther;Susanne;Luther
Michael Mann;Michael;Mann
Shaun Marcott;Shaun;Marcott
Sanna Marin;Sanna;Marin
Christine Markgraf;Christine;Markgraf
Helena Marschall;Helena;Marschall
Paul Matthews;Paul;Matthews
Stephen McIntyre;Stephen;McIntyre
Bill McKibben;Bill;McKibben
Angela Merkel;Angela;Merkel
Gerd Michelsen;Gerd;Michelsen
Andreas Mihm;Andreas;Mihm
Frank-Ulrich Montgomery;Frank-Ulrich;Montgomery
Kumi Naidoo;Kumi;Naidoo
Vanessa Nakate;Vanessa;Nakate
Luisa Neubauer;Luisa;Neubauer
Izabella Nilsson Jarvandi;Izabella;Nilsson Jarvandi
Viola Nordsieck;Viola;Nordsieck
Viola Nordsieck;Viola;Nordsieck
Dalila Nouame;Dalila;Nouame
Barack Obama;Barack;Obama
Sebastian Orthmann;Sebastian;Orthmann
Gerald Pesch;Gerald;Pesch
Harry Pettit;Harry;Pettit
Roger Pielke Jr;Roger;Pielke
Raymond Pierrehumbert;Raymond;Pierrehumbert
Wladimir Putin;Wladimir;Putin
Stefan Rahmstorf;Stefan;Rahmstorf
Disha Ravi;Disha;Ravi
Andreas Reigbert;Andreas;Reigbert
Nick Reimer;Nick;Reimer
Henriette Reker;Henriette;Reker
Jennifer Rezny;Jennifer;Rezny
Tony Rinaudo;Tony;Rinaudo
Charles Rotter;Charles;Rotter
Jürgen Rüttgers;Jürgen;Rüttgers
Anna-Christine Sander;Anna-Christine;Sander
Wolfgang Schäuble;Wolfgang;Schäuble
Hans Joachim Schellnhuber;Hans Joachim;Schellnhuber
Christian Schlüchter;Christian;Schlüchter
Eric Schneiderman;Eric;Schneiderman
Dörte Schnitzer;Dörte;Schnitzer
Olaf Scholz;Olaf;Scholz
Christian Schönwiese;Christian;Schönwiese
Franz Schütz;Franz;Schütz
Nils Simon;Nils;Simon
Andy Singer;Andy;Singer
Erna Solberg;Erna;Solberg
Martin Sonneborn;Martin;Sonneborn
Thilo Spahl;Thilo;Spahl
Miriam Stein;Miriam;Stein
Christian Stöcker;Christian;Stöcker
Erik Swenson;Erik;Swenson
Greta Thunberg;Greta;Thunberg
Frans Timmermann;Frans;Timmermann
Kevin Trenberth;Kevin;Trenberth
Jürgen Trittin;Jürgen;Trittin
Ferhat Unvar;Ferhat;Unvar
Jan Veizer;Jan;Veizer
Françoise Vergès;Françoise;Vergès
Anthony Watts;Anthony;Watts
Daniel Wetzel;Daniel;Wetzel
Sheldon Whitehouse;Sheldon;Whitehouse
Melati Wijsen;Melati;Wijsen
Janusz Wojciechowski;Janusz;Wojciechowski
David Wojick;David;Wojick