"","V1","V2"
"doc_id","activists","skeptics"
"klimaaktivistin","24"," 9"
"klimagerechtigkeit","280"," 16"
"klimaaktivist","61","66"
"klimapäckchen","9","0"
"klimarettung","13","48"
"klimagau","3","1"
"klimaleugner"," 41","127"
"klimaverbrecher","1","1"
"klimazerstörer","3","1"
"klimaungerechtigkeit","2","0"
"klimamahnwache","4","0"
"klimanotstandsregierung","6","0"
"klimaskeptiker"," 10","122"
"klimazerstörung","2","0"
"klimadiplomatie","3","6"
"klimaaufschrei","1","0"
"klimakanzler","2","0"
"klimastopp","1","0"
"klimakonsens","2","3"
"klimagefahr","2","9"
"klimaretterin","2","2"
"klimaaktivismus","3","1"
"klimagnom","1","0"
"klimakanzlerin"," 9","20"
"klimakonsortium","7","2"
"klimaverbrechen","1","1"
"klimaretter"," 6","85"
"klimazerrüttung","1","0"
"klimamacher","1","0"
"klimalüge"," 3","17"
"klimafreundlichkeit","2","0"
"klimahysterie","10","97"
"klimajünger","1","4"
"klimachaos","1","6"
"klimakommissar","1","0"
"klimapanik"," 2","12"
"klimaschänder","1","0"
"klimaschändung","1","0"
"klimakolonialismus","1","0"
"klimastreiter","1","0"
"klimafreund","3","1"
"klimaasyl","1","0"
"klimahysteriker"," 1","27"
"klimaunfähigkeit","1","0"
"klimaernsthaftigkeit","2","0"
"klimakabarett","1","1"
"klimafreundin","1","0"
"klimaleugnung","11"," 5"
"klimanationalismus","12"," 1"
"klimaskepsis","2","4"
"klimawahn"," 3","31"
"klimarealist"," 1","29"
"klimaskeptizismus","1","4"
"klimareligion"," 0","39"
"klimaglaube","0","6"
"klimagesinnung","0","2"
"klimakreationismus","0","1"
"klimadiktatur"," 0","11"
"klimaalarmist","  0","115"
"klimarealismus","0","3"
"klimaalarm"," 0","38"
"klimairrsinn"," 0","11"
"klimaprofessor","0","4"
"klimafront","0","4"
"klimaapokalypse","0","9"
"klimakataklysmus","0","2"
"klimaschwindler","0","4"
"klimaargument","0","1"
"klimabetrug","0","7"
"klimabewegtheit","0","1"
"klimaquatsch"," 0","12"
"klimaschuld","0","1"
"klimastaat","0","1"
"klimabluff","0","2"
"klimaschwindel"," 0","19"
"klimaaufstand","0","1"
"klimahypothese","0","2"
"klimademagoge","0","1"
"klimakonklave","0","2"
"klimapapst","0","7"
"klimamärchenonkel","0","2"
"klimaverblödung","0","2"
"klimaweltuntergang","0","4"
"klimacrash","0","1"
"klimauntergang","0","5"
"klimagott","0","5"
"klimasozialismus","0","4"
"klimanotfall","0","6"
"klimazar","0","2"
"klimapanikmache","0","4"
"klimakirche"," 0","30"
"klimaextremismus","0","1"
"klimaverstand","0","1"
"klimaklamauk","0","4"
"klimawandler","0","3"
"klimapseudowissenschaft","0","1"
"klimagöttin","0","1"
"klimabetrüger","0","3"
"klimasekte","0","3"
"klimakritik","0","1"
"klimashow","0","1"
"klimabankrott","0","1"
"klimaführerin","0","1"
"klimabesorgnis","0","1"
"klimapropaganda"," 0","11"
"klimawarner","0","5"
"klimahokuspokus","0","1"
"klimakäse","0","2"
"klimaprediger","0","3"
"klimadialektik","0","1"
"klimavirus","0","1"
"klimavernunft","0","2"
"klimazwang","0","1"
"klimagarde","0","3"
"klimakampf","0","8"
"klimazeugs","0","4"
"klimafluch","0","2"
"klimakarawane","0","1"
"klimageschäft","0","2"
"klimateppich","0","1"
"klimanotlage","0","6"
"klimafanatiker","0","3"
"klimaprofiteur","0","2"
"klimazirkus","0","6"
"klimakleriker","0","2"
"klimamafia"," 0","13"
"klimagangster","0","1"
"klimamonster","0","1"
"klimawahnsinn"," 0","10"
"klimaorthodoxie","0","3"
"klimaklempner","0","1"
"klimalobby"," 0","13"
"klimahose","0","1"
"klimahölle","0","1"
"klimageschrei","0","1"
"klimadonna","0","5"
"klimaschiff","0","1"
"klimakasteiung","0","1"
"klimatod","0","5"
"klimainsider","0","1"
"klimaverweigerung","0","2"
"klimaverleugnung","0","3"
"klimahype"," 0","15"
"klimahüpfer","0","5"
"klimaideologie","0","4"
"klimavatikan","0","2"
"klimawirklichkeit","0","2"
"klimaschmerz","0","1"
"klimaikone","0","1"
"klimadogma","0","3"
"klimaketzer","0","2"
"klimakrieger","0","2"
"klimafieber","0","1"
"klimatraumatisierung","0","3"
"klimaapostel","0","3"
"klimakrieg","0","5"
"klimaunsinn","0","3"
"klimagläubigkeit","0","1"
"klimastreit","0","2"
"klimakritiker","0","2"
"klimabefürworter","0","2"
"klimalügner","0","5"
"klimakult","0","8"
"klimaschrecken","0","1"
"klimaelite","0","4"
"klimaherausforderung","0","1"
"klimaflüsterer","0","1"
"klimanonsens","0","1"
"klimahybris","0","1"
"klimazipfel","0","1"
"klimaspinner","0","4"
"klimazunft","0","1"
"klimaüberhitzung","0","3"
"klimafachkraft","0","1"
"klimamisere","0","1"
"klimaerkrankung","0","2"
"klimahardliner","0","1"
"klimapäpstin","0","1"
"klimaschwachsinn","0","1"
"klimakatastrophentheorie","0","4"
"klimabrandstifter","0","1"
"klimakönigin","0","1"
"klimaglaubenslehre","0","1"
"klimakompetenz","0","1"
"klimaestablishment","0","3"
"klimaarmageddon","0","3"
"klimapopulismus","0","1"
"klimatrip","0","1"
"klimaunfug","0","1"
"klimaanbeter","0","1"
"klimafeind","0","1"
"klimapolemik","0","1"
"klimakontroverse","0","1"
"klimafestung","0","1"
"klimalaie","0","2"
"klimadampfer","0","2"
"klimabremser","0","2"
"klimatrash","0","1"
"klimasektierer","0","1"
"klimascharade","0","1"
"klimaplanwirtschaft","0","1"
"klimataliban","0","1"
"klimatyrannei","0","1"
"klimaverdummung","0","3"
"klimabesoffenheit","0","1"
"klimamutti","0","1"
"klimapflicht","0","1"
"klimaverrücktheit","0","1"
"klimakontrolle","0","3"
"klimateufel","0","1"
"klimapresse","0","1"
"klimamantra","0","2"
"klimakollekte","0","1"
"klimablödsinn","0","3"
"klimakaiserin","0","1"
"klimaskeptikerin","0","1"
"klimamilliardär","0","2"
"klimabeeinflussung","0","2"
"klimapropagandist","0","2"
"klimaapokalyptiker","0","1"
"klimakamarilla","0","1"
"klimadürre","0","1"
"klimabibel","0","1"
"klimalösegeld","0","2"
"klimabigotterie","0","1"
"klimawendehals","0","1"
"klimakreuzzug","0","1"
"klimamanipulation","0","1"
"klimaparadies","0","1"
"klimakonfusion","0","1"
"klimagunst","0","1"
"klimadramatik","0","1"
"klimaethik","0","1"
"klimaverteidigung","0","1"
"klimadepression","0","1"
"klimahoax","0","1"
"klimapropagandafilm","0","2"
"klimaleidenschaftlichkeit","0","2"
"klimaverwirrung","0","1"
"klimatheater","0","1"
"klimatheologie","0","1"
"klimaabzockerei","0","1"
"klimaprotestler","0","1"
"klimaglaubensbekenntnis","0","1"
"klimakatechismus","0","1"
"klimaerzählung","0","1"
"klimagefasel","0","1"
"klimaintelligenz","0","1"
